Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
CA fees paid,177364,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer receipt recorded,196684,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST challan payment,497055,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST payment made,454587,GST,GST Payable,GST Payable Dr | To Bank,Liability
Employee salary transfer,205675,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Facebook advertisement expense,65396,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Travel reimbursement paid,89448,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Warehouse rent paid,484960,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly payroll payment,293582,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Office rent paid,308172,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Utility expense paid,259051,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales income received,162434,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST payment made,44799,GST,GST Payable,GST Payable Dr | To Bank,Liability
Laptop purchased,262119,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Sales collection received,240869,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank charges deducted,264442,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Transaction charges deducted,40713,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Hotel expense paid,279412,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Water bill paid,199468,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,283142,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank service fee charged,396148,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,481318,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly rent transferred,188987,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Processing charges deducted,81991,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank service fee charged,352844,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Insurance renewal paid,66803,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance renewal paid,268116,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly payroll payment,439749,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Laptop purchased,169333,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST liability paid,471862,GST,GST Payable,GST Payable Dr | To Bank,Liability
Building rent payment,316527,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Vehicle insurance paid,163331,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly rent transferred,258917,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Transaction charges deducted,418066,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Loan principal paid,97673,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Flight ticket booked,186712,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank charges deducted,232769,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Laptop purchased,494215,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Facebook advertisement expense,457891,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Rent expense booked,103529,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Hotel expense paid,119162,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Building rent payment,21025,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Customer receipt recorded,181384,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Customer receipt recorded,294500,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Vehicle purchased,9599,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan repayment made,59519,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,414072,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank commission charged,244266,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Salary paid to employees,11024,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Sales collection received,224164,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Audit fees paid,52870,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST deposited,92700,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,69785,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Google advertisement expense,44173,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Computer equipment purchased,429697,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Marketing campaign expense,211805,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Loan principal paid,74203,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Electricity bill paid,134704,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Office furniture purchased,137800,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST challan payment,108273,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan principal paid,153706,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST payment made,108881,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,462949,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Office furniture purchased,231007,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Flight ticket booked,463179,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Utility expense paid,69636,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Marketing campaign expense,130608,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Customer payment received,327193,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank service fee charged,494878,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Staff salary paid,387497,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Transaction charges deducted,225213,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank charges deducted,164793,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Printer purchased,384481,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Internet bill paid,446602,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST tax deposited,126350,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer receipt recorded,222761,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,292502,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Internet bill paid,14572,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Staff salary paid,129397,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Health insurance premium,338634,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank commission charged,136084,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business insurance paid,128014,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Term loan payment made,72291,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Warehouse rent paid,22470,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Electricity bill paid,443663,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Salary paid to employees,312245,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank service fee charged,275649,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Health insurance premium,358482,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Advertising charges paid,433264,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Building rent payment,135673,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST tax deposited,82683,GST,GST Payable,GST Payable Dr | To Bank,Liability
Employee salary transfer,346281,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Office furniture purchased,25305,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Google advertisement expense,184259,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST tax deposited,482562,GST,GST Payable,GST Payable Dr | To Bank,Liability
Business travel expense,271666,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance premium paid,65507,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Legal fees paid,198544,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Printer purchased,31628,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan principal paid,204789,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan principal paid,24606,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST tax deposited,312244,GST,GST Payable,GST Payable Dr | To Bank,Liability
Monthly rent transferred,306085,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST deposited,209262,GST,GST Payable,GST Payable Dr | To Bank,Liability
Insurance renewal paid,229148,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank commission charged,325172,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Term loan payment made,216990,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Printer purchased,186273,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Travel reimbursement paid,29040,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
CA fees paid,52355,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office furniture purchased,481681,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Flight ticket booked,243679,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Rent expense booked,197733,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank charges deducted,140465,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Insurance renewal paid,496209,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Business insurance paid,194395,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly payroll payment,214238,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Telephone bill paid,419844,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Flight ticket booked,205351,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Vehicle insurance paid,164701,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Telephone bill paid,360210,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan repayment made,432958,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Hotel expense paid,127103,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Business travel expense,377884,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Computer equipment purchased,131021,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan principal paid,125561,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan principal paid,364315,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Computer equipment purchased,38413,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Google advertisement expense,410624,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Staff salary paid,278610,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST liability paid,8883,GST,GST Payable,GST Payable Dr | To Bank,Liability
Warehouse rent paid,459525,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Flight ticket booked,278293,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Sales collection received,48352,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Loan principal paid,162021,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Business travel expense,219787,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Payroll expense booked,494198,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
CA fees paid,391909,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Sales collection received,273091,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,390059,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Audit fees paid,207160,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Professional charges paid,32196,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Sales income received,427886,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST payment made,140700,GST,GST Payable,GST Payable Dr | To Bank,Liability
Travel reimbursement paid,196835,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Revenue received from client,365190,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly rent transferred,33244,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Advertising charges paid,222969,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Water bill paid,22396,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Laptop purchased,104030,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle purchased,374652,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Building rent payment,471671,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Customer receipt recorded,448349,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank service fee charged,451444,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank loan installment paid,467656,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Insurance renewal paid,488747,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
CA fees paid,423406,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer payment received,128108,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Professional charges paid,444066,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Audit fees paid,183271,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Rent expense booked,434303,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Sales collection received,220352,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly payroll payment,339572,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST payment made,163509,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer payment received,189136,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,36725,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office furniture purchased,76203,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Electricity bill paid,12216,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST tax deposited,81964,GST,GST Payable,GST Payable Dr | To Bank,Liability
Warehouse rent paid,447176,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Office rent paid,127537,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan principal paid,47457,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Printer purchased,83126,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle insurance paid,86916,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Hotel expense paid,345233,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Printer purchased,193065,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Audit fees paid,473863,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
